date,time,Humi,Temp,EC,PH,N,P,K
10/7/2024,15:13:27,20.1,27.7,111,6.8,0,10,2
10/7/2024,15:43:27,18.3,27.7,111,7.1,0,10,2
10/7/2024,16:13:27,19.7,27.8,111,7.3,0,10,2
10/7/2024,16:43:27,18.7,27.8,111,7.5,0,10,2
10/7/2024,17:13:27,17.4,27.8,111,7.6,0,10,2
10/7/2024,17:43:27,20.6,27.8,111,7.7,0,10,2
10/7/2024,18:13:27,19,27.8,111,7.8,0,10,2
10/7/2024,18:43:27,18.7,27.8,111,7.8,0,10,2
10/7/2024,19:13:27,20.1,27.8,111,7.8,0,10,2
10/7/2024,19:43:27,18.7,27.7,111,7.8,0,10,2
10/7/2024,20:13:27,18.3,27.7,111,7.9,0,10,2
10/7/2024,20:43:27,18.1,27.6,111,7.8,0,10,2
10/7/2024,21:13:27,18.7,27.6,111,7.9,0,10,2
10/7/2024,21:43:27,19.5,27.6,111,7.8,0,10,2
10/7/2024,22:13:27,18.7,27.6,111,7.8,0,10,2
10/7/2024,22:43:27,17.9,27.5,111,7.7,0,10,2
10/7/2024,23:13:27,17.9,27.5,111,7.7,0,10,2
10/7/2024,23:43:27,18,27.5,111,7.7,0,10,2
11/7/2024,0:13:27,18.9,27.4,111,7.6,0,10,2
11/7/2024,0:43:27,18,27.4,111,7.6,0,10,2
11/7/2024,1:13:27,18.5,27.3,110,7.6,0,10,2
11/7/2024,1:43:27,18.3,27.3,111,7.6,0,10,2
11/7/2024,2:13:27,19.1,27.2,110,7.6,0,10,2
11/7/2024,2:43:27,20.1,27.2,110,7.6,0,10,2
11/7/2024,3:13:27,17.4,27.2,110,7.6,0,10,2
11/7/2024,3:43:27,18,27.1,110,7.7,0,10,2
11/7/2024,4:13:27,19.5,27.1,110,7.7,0,10,2
11/7/2024,4:43:27,19.3,27.1,110,7.7,0,10,2
11/7/2024,5:13:27,17.8,27.1,110,7.7,0,10,2
11/7/2024,5:43:27,19.1,27,110,7.7,0,10,2
11/7/2024,6:13:27,18,27,110,7.7,0,10,2
11/7/2024,6:43:27,17.8,26.9,110,7.7,0,10,2
11/7/2024,7:13:27,19.5,26.9,110,7.7,0,10,2
11/7/2024,7:43:27,18.9,26.9,110,7.7,0,10,2
11/7/2024,8:13:27,17.4,26.9,110,7.7,0,10,2
11/7/2024,8:43:27,17.4,26.9,110,7.7,0,10,2
11/7/2024,9:13:27,17.8,26.9,110,7.8,0,10,2
11/7/2024,9:43:27,19.5,26.9,110,7.8,0,10,2
11/7/2024,10:13:27,17.8,27.1,110,7.8,0,10,2
11/7/2024,10:43:27,19.7,27.1,110,7.7,0,10,2
11/7/2024,11:13:27,17.1,27.3,110,7.8,0,10,2
11/7/2024,11:43:27,17.1,27.4,110,7.8,0,10,2
11/7/2024,12:13:27,17.4,27.5,110,7.8,0,10,2
11/7/2024,12:43:27,16.2,27.8,110,7.8,0,10,2
11/7/2024,13:13:27,16.6,28.1,110,7.9,0,10,2
11/7/2024,13:43:27,17.1,28.5,110,7.9,0,10,2
11/7/2024,14:13:27,17.3,28.8,110,7.9,0,10,2
11/7/2024,14:43:27,17.2,28.8,110,7.9,0,10,2
11/7/2024,15:13:27,17.1,28.8,110,8,0,10,2
11/7/2024,15:43:27,18.3,28.8,110,7.9,0,10,2
11/7/2024,16:13:27,17,28.7,110,8,0,10,2
11/7/2024,16:43:27,17.7,28.8,110,8,0,10,2
11/7/2024,17:13:27,16.7,28.8,110,7.9,0,10,2
11/7/2024,17:43:27,16.2,28.7,110,8,0,10,2
11/7/2024,18:13:27,17.1,28.6,110,8,0,10,2
11/7/2024,18:43:27,16.2,28.5,110,8,0,10,2
11/7/2024,19:13:27,18.7,28.4,110,8,0,10,2
11/7/2024,19:43:27,15.8,28.3,110,8,0,10,2
11/7/2024,20:13:27,16.2,28.2,110,8,0,10,2
11/7/2024,20:43:27,16.2,28.3,110,8,0,10,2
11/7/2024,21:13:27,18.7,28.2,110,8.1,0,10,2
11/7/2024,21:43:27,16.2,28.2,110,8.1,0,10,2
11/7/2024,22:13:27,18.1,28.2,110,8,0,10,2
11/7/2024,22:43:27,15.8,28.2,110,8.1,0,10,2
11/7/2024,23:13:27,17.1,28.2,110,8.1,0,10,2
11/7/2024,23:43:27,17.1,28.1,110,8.1,0,10,2
12/7/2024,0:13:27,16.2,28.1,110,8.1,0,10,2
12/7/2024,0:43:27,16.6,28.1,110,8,0,10,2
12/7/2024,1:13:27,16.6,28.1,110,8.1,0,10,2
12/7/2024,1:43:27,16.4,28,110,8,0,10,2
12/7/2024,2:13:27,15.8,27.8,109,8.1,0,9,1
