history data is exported  only for reference.,,,,,,,,
Export time:2024/08/04 18:26,,,,,,,,
,,,,,,,,
,,,,,,,,
date,time,Humi,Temp,EC,PH,N,P,K
10/7/2024,15:24:48,24,26.3,272,7.5,18,88,81
10/7/2024,15:54:48,22.4,26.4,272,7.7,18,88,81
10/7/2024,16:24:48,21.3,26.4,272,7.7,18,88,81
10/7/2024,16:54:48,21.7,26.5,272,7.8,18,88,81
10/7/2024,17:24:48,21.9,26.5,272,7.8,18,88,81
10/7/2024,17:54:48,21.3,26.5,272,7.9,18,88,81
10/7/2024,18:24:48,23.8,26.5,272,7.9,18,88,81
10/7/2024,18:54:48,21.7,26.5,272,8,18,88,81
10/7/2024,19:24:48,22.2,26.5,272,8.1,18,88,81
10/7/2024,19:54:48,21.1,26.5,272,8.1,18,88,81
10/7/2024,20:24:48,21.5,26.4,272,8.1,18,88,81
10/7/2024,20:54:48,22.4,26.4,272,8.2,18,88,81
10/7/2024,21:24:48,21.5,26.4,272,8.1,18,88,81
10/7/2024,21:54:48,21.1,26.3,272,8.2,18,88,81
10/7/2024,22:24:48,22.5,26.3,272,8.2,18,88,81
10/7/2024,22:54:48,21.6,26.2,272,8.2,18,88,81
10/7/2024,23:24:48,21,26.2,271,8.2,18,87,80
10/7/2024,23:54:48,20.2,26.2,271,8.2,18,87,80
11/7/2024,0:24:48,21.1,26.2,271,8.2,18,87,80
11/7/2024,0:54:48,20.3,26.1,271,8.2,18,87,80
11/7/2024,1:24:48,19.9,26.1,271,8.2,18,87,80
11/7/2024,1:54:48,21.7,26,271,8.2,18,87,80
11/7/2024,2:24:48,21.7,26,271,8.2,18,87,80
11/7/2024,2:54:48,20.8,25.9,271,8.2,18,87,80
11/7/2024,3:24:48,19.7,25.9,271,8.2,18,87,80
11/7/2024,3:54:48,20.6,25.9,271,8.2,18,87,80
11/7/2024,4:24:48,20.4,25.9,271,8.3,18,87,80
11/7/2024,4:54:48,21.4,25.9,271,8.2,18,87,80
11/7/2024,5:24:48,19.7,25.8,271,8.3,18,87,80
11/7/2024,5:54:48,20.2,25.8,271,8.3,18,87,80
11/7/2024,6:24:48,21,25.7,271,8.3,18,87,80
11/7/2024,6:54:48,19.9,25.7,271,8.3,18,87,80
11/7/2024,7:24:48,21.5,25.7,271,8.3,18,87,80
11/7/2024,7:54:48,21.7,25.7,271,8.4,18,87,80
11/7/2024,8:24:48,19.7,25.8,271,8.4,18,87,80
11/7/2024,8:54:48,21,25.8,271,8.4,18,87,80
11/7/2024,9:24:48,20.7,26,271,8.5,18,87,80
11/7/2024,9:54:48,21.4,26.1,271,8.5,18,87,80
11/7/2024,10:24:48,19.9,26.2,271,8.6,18,87,80
11/7/2024,10:54:48,19.5,26.4,271,8.6,18,87,80
11/7/2024,11:24:48,18.8,26.5,271,8.6,18,87,80
11/7/2024,11:54:48,22.2,26.7,271,8.7,18,87,80
11/7/2024,12:24:48,19,26.7,270,8.7,17,87,80
11/7/2024,12:54:48,19.5,26.9,270,8.7,17,87,80
11/7/2024,13:24:48,19.6,26.9,270,8.7,17,87,80
11/7/2024,13:54:48,19.4,27.1,270,8.8,17,87,80
11/7/2024,14:24:48,20.8,27.2,270,8.9,17,87,80
11/7/2024,14:54:48,18.8,27.2,270,8.9,17,87,80
11/7/2024,15:24:48,21,27.3,270,9,17,87,80
11/7/2024,15:54:48,20,27.3,270,9,17,87,80
11/7/2024,16:24:48,19,27.3,270,9,17,87,80
11/7/2024,16:54:48,20.4,27.4,270,9,17,87,80
11/7/2024,17:24:48,20.2,27.4,270,9,17,87,80
11/7/2024,17:54:48,19.5,27.4,269,9,17,86,79
11/7/2024,18:24:48,19.2,27.1,269,9,17,86,79
11/7/2024,18:54:48,18.5,27.2,269,9,17,86,79
11/7/2024,19:24:48,19,27.2,269,9,17,86,79
